<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
USDCHF,20050527,00:00:00,1.2355,1.2298,1.2363,1.2304
USDCHF,20050530,00:00:00,1.2323,1.2318,1.2393,1.2383
USDCHF,20050531,00:00:00,1.2383,1.2371,1.2493,1.2474
USDCHF,20050601,00:00:00,1.2474,1.2449,1.2595,1.2549
USDCHF,20050602,00:00:00,1.2549,1.2473,1.2574,1.2509
USDCHF,20050603,00:00:00,1.2509,1.2453,1.2558,1.2535
USDCHF,20050606,00:00:00,1.2530,1.2464,1.2537,1.2489
USDCHF,20050607,00:00:00,1.2489,1.2428,1.2511,1.2455
USDCHF,20050608,00:00:00,1.2455,1.2409,1.2575,1.2542
USDCHF,20050609,00:00:00,1.2542,1.2511,1.2591,1.2542
USDCHF,20050610,00:00:00,1.2541,1.2520,1.2698,1.2681
USDCHF,20050613,00:00:00,1.2692,1.2682,1.2783,1.2705
USDCHF,20050614,00:00:00,1.2706,1.2670,1.2788,1.2777
USDCHF,20050615,00:00:00,1.2777,1.2687,1.2789,1.2697
USDCHF,20050616,00:00:00,1.2697,1.2655,1.2769,1.2719
USDCHF,20050617,00:00:00,1.2719,1.2569,1.2732,1.2571
USDCHF,20050620,00:00:00,1.2653,1.2613,1.2735,1.2703
USDCHF,20050621,00:00:00,1.2704,1.2651,1.2780,1.2656
USDCHF,20050622,00:00:00,1.2656,1.2620,1.2745,1.2713
USDCHF,20050623,00:00:00,1.2713,1.2693,1.2809,1.2795
USDCHF,20050624,00:00:00,1.2794,1.2729,1.2841,1.2735
USDCHF,20050627,00:00:00,1.2736,1.2656,1.2736,1.2672
USDCHF,20050628,00:00:00,1.2673,1.2670,1.2817,1.2803
USDCHF,20050629,00:00:00,1.2804,1.2770,1.2874,1.2822
USDCHF,20050630,00:00:00,1.2821,1.2781,1.2858,1.2818
USDCHF,20050701,00:00:00,1.2826,1.2815,1.2976,1.2973
USDCHF,20050704,00:00:00,1.2977,1.2964,1.3039,1.3038
USDCHF,20050705,00:00:00,1.3039,1.2995,1.3070,1.3033
USDCHF,20050706,00:00:00,1.3032,1.2997,1.3067,1.3016
USDCHF,20050707,00:00:00,1.3016,1.2838,1.3046,1.2981
USDCHF,20050708,00:00:00,1.2981,1.2960,1.3072,1.2998
USDCHF,20050711,00:00:00,1.2992,1.2855,1.3004,1.2867
USDCHF,20050712,00:00:00,1.2868,1.2700,1.2888,1.2708
USDCHF,20050713,00:00:00,1.2709,1.2709,1.2915,1.2901
USDCHF,20050714,00:00:00,1.2899,1.2854,1.2927,1.2899
USDCHF,20050715,00:00:00,1.2900,1.2851,1.2974,1.2946
USDCHF,20050718,00:00:00,1.2976,1.2903,1.2976,1.2940
USDCHF,20050719,00:00:00,1.2940,1.2931,1.3080,1.2998
USDCHF,20050720,00:00:00,1.2997,1.2807,1.3029,1.2852
USDCHF,20050721,00:00:00,1.2852,1.2749,1.2901,1.2854
USDCHF,20050722,00:00:00,1.2856,1.2821,1.2972,1.2967
USDCHF,20050725,00:00:00,1.2976,1.2932,1.2991,1.2945
USDCHF,20050726,00:00:00,1.2944,1.2941,1.3027,1.2988
USDCHF,20050727,00:00:00,1.2991,1.2933,1.3057,1.2952
USDCHF,20050728,00:00:00,1.2952,1.2837,1.2997,1.2859
USDCHF,20050729,00:00:00,1.2858,1.2820,1.2920,1.2882
USDCHF,20050801,00:00:00,1.2882,1.2717,1.2895,1.2797
USDCHF,20050802,00:00:00,1.2796,1.2700,1.2797,1.2762
USDCHF,20050803,00:00:00,1.2763,1.2600,1.2811,1.2609
USDCHF,20050804,00:00:00,1.2610,1.2563,1.2658,1.2572
USDCHF,20050805,00:00:00,1.2573,1.2563,1.2674,1.2623
USDCHF,20050808,00:00:00,1.2643,1.2589,1.2673,1.2609
USDCHF,20050809,00:00:00,1.2609,1.2542,1.2627,1.2588
USDCHF,20050810,00:00:00,1.2588,1.2518,1.2617,1.2558
USDCHF,20050811,00:00:00,1.2556,1.2449,1.2571,1.2457
USDCHF,20050812,00:00:00,1.2457,1.2433,1.2536,1.2473
USDCHF,20050815,00:00:00,1.2457,1.2450,1.2563,1.2545
USDCHF,20050816,00:00:00,1.2545,1.2533,1.2622,1.2552
USDCHF,20050817,00:00:00,1.2552,1.2547,1.2635,1.2614
USDCHF,20050818,00:00:00,1.2614,1.2584,1.2737,1.2710
USDCHF,20050819,00:00:00,1.2710,1.2695,1.2768,1.2743
USDCHF,20050822,00:00:00,1.2736,1.2672,1.2750,1.2704
USDCHF,20050823,00:00:00,1.2704,1.2681,1.2739,1.2700
USDCHF,20050824,00:00:00,1.2699,1.2638,1.2784,1.2640
USDCHF,20050825,00:00:00,1.2640,1.2537,1.2653,1.2565
USDCHF,20050826,00:00:00,1.2565,1.2518,1.2597,1.2581
USDCHF,20050829,00:00:00,1.2585,1.2503,1.2684,1.2671
USDCHF,20050830,00:00:00,1.2671,1.2656,1.2742,1.2689
USDCHF,20050831,00:00:00,1.2690,1.2521,1.2702,1.2530
USDCHF,20050901,00:00:00,1.2530,1.2316,1.2556,1.2346
USDCHF,20050902,00:00:00,1.2347,1.2248,1.2365,1.2286
USDCHF,20050905,00:00:00,1.2289,1.2239,1.2341,1.2314
USDCHF,20050906,00:00:00,1.2314,1.2314,1.2401,1.2379
USDCHF,20050907,00:00:00,1.2379,1.2309,1.2441,1.2433
USDCHF,20050908,00:00:00,1.2432,1.2384,1.2464,1.2446
USDCHF,20050909,00:00:00,1.2445,1.2386,1.2467,1.2430
USDCHF,20050912,00:00:00,1.2435,1.2425,1.2593,1.2584
USDCHF,20050913,00:00:00,1.2584,1.2545,1.2637,1.2608
USDCHF,20050914,00:00:00,1.2608,1.2530,1.2619,1.2576
USDCHF,20050915,00:00:00,1.2576,1.2572,1.2693,1.2672
USDCHF,20050916,00:00:00,1.2673,1.2599,1.2722,1.2692
USDCHF,20050919,00:00:00,1.2749,1.2732,1.2809,1.2789
USDCHF,20050920,00:00:00,1.2789,1.2743,1.2823,1.2812
USDCHF,20050921,00:00:00,1.2811,1.2678,1.2821,1.2694
USDCHF,20050922,00:00:00,1.2695,1.2658,1.2807,1.2790
USDCHF,20050923,00:00:00,1.2789,1.2776,1.2921,1.2918
USDCHF,20050926,00:00:00,1.2933,1.2880,1.2959,1.2893
USDCHF,20050927,00:00:00,1.2894,1.2881,1.2995,1.2952
USDCHF,20050928,00:00:00,1.2951,1.2911,1.2981,1.2912
USDCHF,20050929,00:00:00,1.2911,1.2882,1.2975,1.2934
USDCHF,20050930,00:00:00,1.2933,1.2852,1.2976,1.2941
USDCHF,20051003,00:00:00,1.2926,1.2922,1.3040,1.3014
USDCHF,20051004,00:00:00,1.3014,1.2988,1.3035,1.3011
USDCHF,20051005,00:00:00,1.3011,1.2895,1.3020,1.2900
USDCHF,20051006,00:00:00,1.2890,1.2670,1.2911,1.2706
USDCHF,20051007,00:00:00,1.2706,1.2704,1.2825,1.2781
USDCHF,20051010,00:00:00,1.2793,1.2749,1.2868,1.2829
